,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,L_rostralanteriorcingulate_cortex,L_rostralanteriorcingulate_cortex,L_thalamus,L_thalamus,L_hippocampus,R_rostralanteriorcingulate_cortex,R_rostralanteriorcingulate_cortex,R_thalamus,R_hippocampus,L_rostralanteriorcingulate_cortex,L_thalamus,L_hippocampus,L_amygdala,L_rostralanteriorcingulate_cortex,L_hippocampus,L_amygdala
1,L_thalamus,L_amygdala,L_hippocampus,R_hippocampus,L_amygdala,R_thalamus,R_amygdala,R_hippocampus,R_amygdala,R_thalamus,R_rostralanteriorcingulate_cortex,R_thalamus,R_rostralanteriorcingulate_cortex,R_amygdala,R_amygdala,R_hippocampus
140925,118.0,251.0,1140.0,25.0,247.0,524.0,556.0,1684.0,148.0,1.0,75.0,4.0,,,4.0,
141119,3.0,15.0,982.0,29.0,182.0,1.0,98.0,2098.0,1614.0,,1.0,,,,,
141422,20.0,265.0,2181.0,4.0,932.0,23.0,19.0,486.0,416.0,,,,,,,
143224,3.0,17.0,244.0,190.0,91.0,1313.0,1483.0,2592.0,2180.0,,131.0,,,,1.0,
143325,23.0,22.0,354.0,79.0,184.0,296.0,424.0,2639.0,970.0,2.0,,5.0,,33.0,151.0,2.0
143426,1516.0,3058.0,2703.0,5.0,1002.0,477.0,90.0,1139.0,177.0,98.0,,210.0,2.0,,,
144125,558.0,472.0,1562.0,,428.0,173.0,293.0,911.0,329.0,,,,,,,
144226,277.0,2468.0,1922.0,,2689.0,14.0,41.0,157.0,,,,2.0,,,,
144428,52.0,159.0,2653.0,3.0,304.0,38.0,175.0,340.0,176.0,,3.0,,,,,
144731,41.0,376.0,1679.0,,310.0,49.0,66.0,1103.0,835.0,,1.0,27.0,,,9.0,
144933,135.0,97.0,602.0,4.0,54.0,347.0,844.0,1013.0,425.0,,2.0,,,,2.0,1.0
145834,656.0,5005.0,3575.0,,2636.0,129.0,698.0,596.0,631.0,31.0,,6.0,,,,
146331,275.0,262.0,1729.0,9.0,276.0,144.0,233.0,614.0,473.0,2.0,5.0,30.0,,,,
146432,401.0,1008.0,1477.0,15.0,1726.0,143.0,170.0,1045.0,55.0,,36.0,,1.0,,,
146533,172.0,96.0,1231.0,,147.0,103.0,488.0,1096.0,690.0,,,,,,5.0,
146634,4.0,23.0,589.0,2.0,200.0,346.0,486.0,2575.0,2871.0,,,,,5.0,20.0,
146735,451.0,1128.0,583.0,,578.0,5.0,,61.0,2.0,17.0,1.0,,1.0,,,
146937,2.0,128.0,538.0,,200.0,63.0,202.0,541.0,434.0,,,17.0,,,,
147030,52.0,98.0,760.0,47.0,599.0,4.0,289.0,134.0,327.0,,11.0,4.0,,,,
147636,584.0,2607.0,1918.0,47.0,4951.0,70.0,2075.0,1416.0,2439.0,,2.0,58.0,5.0,28.0,264.0,
